gameId	code	family	archetype	region	ruleComponents	lifecycleComponents	sourceStatus	sourceEvidence	allowedCreateFields	configSchemaHash
80	aydss	long-card:regional	long-card/trick-or-meld/direct-play/single-winner	PROVINCE/sichuan	meld	direct-play,single-winner	SOURCE_SIGNATURE_AVAILABLE	AYDSSCalcPosEnd.java;AYDSSRoomEnum.java;AYDSSRoomSet.java;AYDSSSetCard.java;AYDSSSetOp.java;AYDSSAbsCalcPosEnd.java;AYDSSAbsSetOp.java;PKSetCard.java;CAYDSSCreateRoom.java;CAYDSS_CreateRoom.java;BaseCreateRoom.java;aydssChildCreateRoom.js	gaoji,jiesan,kexuanwanfa,paymentRoomCardType,piao,playerMinNum,playerNum,setCount,sign,xianShi,zuozhuang	7e257f34d3503a280d1ef1c4af7bf154dff4ddafa627bf2e7bfa8b7348be1a18
138	aycp	long-card:regional	long-card/trick-or-meld/direct-play/single-winner	PROVINCE/sichuan	hu-xi,meld	direct-play,single-winner	SOURCE_SIGNATURE_AVAILABLE	AYCPCalcPosEnd.java;AYCPRoomEnum.java;AYCPRoomSet.java;AYCPSetCard.java;AYCPSetOp.java;AYCPHuUtil.java;CAYCPCreateRoom.java;CAYCP_CreateRoom.java;BaseCreateRoom.java;aycpChildCreateRoom.js	fanfan,fangjian,gaoji,jiesan,kexuanwanfa,paymentRoomCardType,piao,playerMinNum,playerNum,setCount,sign,xianShi,zuozhuang	d224439a819f0fdb501699d360898dc72363458a48c7429f31ebca403aa2248b
210	zgcp	long-card:regional	long-card/trick-or-meld/direct-play/single-winner	PROVINCE/sichuan	meld	direct-play,single-winner	SOURCE_SIGNATURE_AVAILABLE	ZGCPCalcPosEnd.java;ZGCPRoomEnum.java;ZGCPRoomSet.java;ZGCPSetCard.java;ZGCPSetOp.java;ZGCPHuUtil.java;CZGCPCreateRoom.java;CZGCP_CreateRoom.java;BaseCreateRoom.java;zgcpChildCreateRoom.js	chaofanjiadi,fangjian,fanshushangxian,gaoji,jiesan,kexuanwanfa,paymentRoomCardType,playerMinNum,playerNum,setCount,sign,wanfa,xianShi	a4029db8f615ca39c5d872d39ed560b397ffb7e332d18d5f8bae4393393fcb36
211	zgdss	long-card:regional	long-card/trick-or-meld/direct-play/single-winner	PROVINCE/sichuan	meld	direct-play,single-winner	SOURCE_SIGNATURE_AVAILABLE	PKSetCard.java;ZGDSSCalcPosEnd.java;ZGDSSRoomEnum.java;ZGDSSRoomSet.java;ZGDSSSetCard.java;ZGDSSSetOp.java;CZGDSSCreateRoom.java;CZGDSS_CreateRoom.java;BaseCreateRoom.java;zgdssChildCreateRoom.js	chaofanjiadi,fangjian,fanshushangxian,gaoji,jiesan,kexuanwanfa,laizishuliang,paymentRoomCardType,playerMinNum,playerNum,setCount,sign,xianShi	ad0f870aee6e16940b9288d5c1400b0888c5f040850e8ddbb8c4ab71d65b031a
