gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
334	gsddz	GSDDZ	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	0	GSDDZ
224	gsjmj	GSJMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	hebei		1.0.0	0	GSJMJ
360	gslzmj	GSLZMJ	MAHJONG	mahjong-standard	PROVINCE	gansu		1.0.0	0	GSLZMJ
322	gsmj	GSMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	GSMJ
329	gspdk	GSPDK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	0	GSPDK
305	gxcdd	GXCDD	POKER	poker-pao-de-kuai	PROVINCE	guangxi		1.0.0	0	GXCDD
313	gxmj	GXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	GXMJ
172	gymj	GYMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	jiangsu		1.0.0	0	GYMJ
257	gyzjmj	GYZJMJ	MAHJONG	mahjong-lai-zi	PROVINCE	guizhou		1.0.0	0	GYZJMJ
379	gz	GZ	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	GZ
276	gzmj	GZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	GZMJ
283	gzth	GZTH	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	GZTH
33	hamj	HAMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	1	HAMJ
547	haxymj	HAXYMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	1	HAXYMJ
223	hbhbmj	HBHBMJ	MAHJONG	mahjong-standard	PROVINCE	hebei		1.0.0	0	HBHBMJ
59	hbmj	HBMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	1	HBMJ
89	hbpdk	HBPDK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	1	HBPDK
222	hbtdhmj	HBTDHMJ	MAHJONG	mahjong-tui-dao-hu	PROVINCE	hebei		1.0.0	0	HBTDHMJ
254	hbwhmj	HBWHMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hubei		1.0.0	0	HBWHMJ
24	hbyxmj	HBYXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	hubei		1.0.0	1	HBYXMJ
555	hcng	HCNG	POKER	poker-pao-de-kuai	PROVINCE	guangxi		1.0.0	1	HCNG
380	hcpdk	HCPDK	POKER	poker-pao-de-kuai	PROVINCE	henan		1.0.0	0	HCPDK
