module	javaFiles	category	family	evidenceScores
HBHBMJ	93	MAHJONG	mahjong-standard	MAHJONG:289,POKER:0,LONG_CARD:0,WORD_CARD:0
HBMJ	102	MAHJONG	mahjong-standard	MAHJONG:427,POKER:1,LONG_CARD:0,WORD_CARD:0
HBPDK	95	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:166,LONG_CARD:0,WORD_CARD:0
HBTDHMJ	103	MAHJONG	mahjong-tui-dao-hu	MAHJONG:463,POKER:0,LONG_CARD:0,WORD_CARD:0
HBWHMJ	118	MAHJONG	mahjong-lai-zi	MAHJONG:447,POKER:0,LONG_CARD:0,WORD_CARD:0
HBYXMJ	106	MAHJONG	mahjong-lai-zi	MAHJONG:396,POKER:0,LONG_CARD:0,WORD_CARD:0
HCNG	113	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:185,LONG_CARD:0,WORD_CARD:0
HCPDK	105	POKER	poker-pao-de-kuai	MAHJONG:1,POKER:209,LONG_CARD:0,WORD_CARD:0
HEBMJ	113	MAHJONG	mahjong-lai-zi	MAHJONG:544,POKER:0,LONG_CARD:0,WORD_CARD:0
HFBZMJ	99	MAHJONG	mahjong-standard	MAHJONG:354,POKER:0,LONG_CARD:0,WORD_CARD:0
HFMJ	103	MAHJONG	mahjong-standard	MAHJONG:411,POKER:0,LONG_CARD:0,WORD_CARD:0
HHHGW	119	MAHJONG	mahjong-standard	MAHJONG:282,POKER:0,LONG_CARD:4,WORD_CARD:0
HHPDK	100	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:159,LONG_CARD:0,WORD_CARD:0
HJMJ	106	MAHJONG	mahjong-xue-zhan	MAHJONG:491,POKER:0,LONG_CARD:0,WORD_CARD:0
HLDMJ	116	MAHJONG	mahjong-lai-zi	MAHJONG:413,POKER:0,LONG_CARD:0,WORD_CARD:0
HNAYMJ	106	MAHJONG	mahjong-lai-zi	MAHJONG:536,POKER:0,LONG_CARD:0,WORD_CARD:0
