module	javaFiles	category	family	evidenceScores
PYZHW	134	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:482,LONG_CARD:0,WORD_CARD:0
PZMJ	95	MAHJONG	mahjong-standard	MAHJONG:330,POKER:0,LONG_CARD:0,WORD_CARD:0
QBSK	116	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:225,LONG_CARD:0,WORD_CARD:0
QCDG	116	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:324,LONG_CARD:0,WORD_CARD:0
QDBH	118	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:181,LONG_CARD:0,WORD_CARD:2
QDJT	125	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:280,LONG_CARD:0,WORD_CARD:0
QDMJ	113	MAHJONG	mahjong-lai-zi	MAHJONG:425,POKER:0,LONG_CARD:0,WORD_CARD:0
QJFBBMJ	123	MAHJONG	mahjong-lai-zi	MAHJONG:535,POKER:0,LONG_CARD:0,WORD_CARD:0
QJFXJMJ	116	MAHJONG	mahjong-standard	MAHJONG:341,POKER:0,LONG_CARD:0,WORD_CARD:0
QWWES	108	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:209,LONG_CARD:0,WORD_CARD:0
QXWQ	111	MAHJONG	mahjong-standard	MAHJONG:224,POKER:86,LONG_CARD:0,WORD_CARD:0
QYMJ	97	MAHJONG	mahjong-standard	MAHJONG:333,POKER:0,LONG_CARD:0,WORD_CARD:0
QYPHMJ	99	MAHJONG	mahjong-standard	MAHJONG:377,POKER:0,LONG_CARD:0,WORD_CARD:0
QZCSMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:338,POKER:0,LONG_CARD:0,WORD_CARD:0
QZKHMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:412,POKER:0,LONG_CARD:0,WORD_CARD:0
QZMJ	86	MAHJONG	mahjong-standard	MAHJONG:276,POKER:0,LONG_CARD:0,WORD_CARD:0
RBMJ	102	MAHJONG	mahjong-xue-liu	MAHJONG:420,POKER:0,LONG_CARD:0,WORD_CARD:0
RCMJ	111	MAHJONG	mahjong-standard	MAHJONG:469,POKER:0,LONG_CARD:0,WORD_CARD:0
RCWSK	114	POKER	poker-pao-de-kuai	MAHJONG:9,POKER:267,LONG_CARD:0,WORD_CARD:0
RCWSK3	114	POKER	poker-pao-de-kuai	MAHJONG:9,POKER:241,LONG_CARD:0,WORD_CARD:0
RCWSK6	130	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:211,LONG_CARD:0,WORD_CARD:0
RGJAMJ	104	MAHJONG	mahjong-xue-zhan	MAHJONG:434,POKER:1,LONG_CARD:0,WORD_CARD:0
RJMJ	107	MAHJONG	mahjong-lai-zi	MAHJONG:406,POKER:0,LONG_CARD:0,WORD_CARD:0
RQMJ	100	MAHJONG	mahjong-lai-zi	MAHJONG:390,POKER:0,LONG_CARD:0,WORD_CARD:0
RXEW	109	MAHJONG	mahjong-lai-zi	MAHJONG:304,POKER:52,LONG_CARD:0,WORD_CARD:0
RZMJ	99	MAHJONG	mahjong-standard	MAHJONG:335,POKER:0,LONG_CARD:0,WORD_CARD:0
SCDYMJ	102	MAHJONG	mahjong-xue-zhan	MAHJONG:437,POKER:0,LONG_CARD:0,WORD_CARD:0
SCGAMJ	118	MAHJONG	mahjong-lai-zi	MAHJONG:616,POKER:0,LONG_CARD:0,WORD_CARD:135
SCGXMJ	106	MAHJONG	mahjong-xue-zhan	MAHJONG:556,POKER:2,LONG_CARD:0,WORD_CARD:0
SCMJ	119	MAHJONG	mahjong-standard	MAHJONG:423,POKER:0,LONG_CARD:0,WORD_CARD:0
SCNJMJ	94	MAHJONG	mahjong-xue-zhan	MAHJONG:432,POKER:0,LONG_CARD:0,WORD_CARD:0
SCPK	119	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:357,LONG_CARD:0,WORD_CARD:0
SD	111	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:260,LONG_CARD:0,WORD_CARD:0
SDB	95	POKER	poker-trick-taking	MAHJONG:1,POKER:95,LONG_CARD:0,WORD_CARD:0
SDFJMJ	139	MAHJONG	mahjong-lai-zi	MAHJONG:738,POKER:0,LONG_CARD:0,WORD_CARD:0
SDH	113	POKER	poker-pao-de-kuai	MAHJONG:5,POKER:477,LONG_CARD:0,WORD_CARD:0
SDHZMJ	106	MAHJONG	mahjong-standard	MAHJONG:434,POKER:1,LONG_CARD:0,WORD_CARD:0
SDJNMJ	107	MAHJONG	mahjong-standard	MAHJONG:332,POKER:0,LONG_CARD:0,WORD_CARD:0
SDLCMJ	106	MAHJONG	mahjong-standard	MAHJONG:402,POKER:1,LONG_CARD:0,WORD_CARD:0
SDLYMJ	94	MAHJONG	mahjong-standard	MAHJONG:378,POKER:0,LONG_CARD:0,WORD_CARD:0
SDZZMJ	120	MAHJONG	mahjong-standard	MAHJONG:543,POKER:1,LONG_CARD:0,WORD_CARD:0
SFPHMJ	104	MAHJONG	mahjong-standard	MAHJONG:409,POKER:0,LONG_CARD:0,WORD_CARD:0
SG	109	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:72,LONG_CARD:0,WORD_CARD:0
SGEW	108	MAHJONG	mahjong-lai-zi	MAHJONG:300,POKER:53,LONG_CARD:0,WORD_CARD:0
SGLK	120	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:176,LONG_CARD:0,WORD_CARD:0
SGMJ	95	MAHJONG	mahjong-standard	MAHJONG:381,POKER:0,LONG_CARD:0,WORD_CARD:0
SHQMMJ	104	MAHJONG	mahjong-lai-zi	MAHJONG:492,POKER:0,LONG_CARD:0,WORD_CARD:24
SJ	116	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:179,LONG_CARD:0,WORD_CARD:0
SJMS	129	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:319,LONG_CARD:0,WORD_CARD:0
SMMJ	96	MAHJONG	mahjong-standard	MAHJONG:413,POKER:0,LONG_CARD:0,WORD_CARD:0
SQMJ	110	MAHJONG	mahjong-lai-zi	MAHJONG:628,POKER:0,LONG_CARD:0,WORD_CARD:0
SQSYMJ	101	MAHJONG	mahjong-lai-zi	MAHJONG:463,POKER:0,LONG_CARD:0,WORD_CARD:0
SQYCMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:424,POKER:0,LONG_CARD:0,WORD_CARD:0
SRDDZ	122	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:261,LONG_CARD:0,WORD_CARD:0
SRMJ	119	MAHJONG	mahjong-lai-zi	MAHJONG:458,POKER:0,LONG_CARD:0,WORD_CARD:2
SSE	103	MAHJONG	mahjong-standard	MAHJONG:346,POKER:0,LONG_CARD:0,WORD_CARD:0
SSMJ	93	MAHJONG	mahjong-standard	MAHJONG:363,POKER:0,LONG_CARD:0,WORD_CARD:0
SSPMJ	104	MAHJONG	mahjong-standard	MAHJONG:534,POKER:0,LONG_CARD:0,WORD_CARD:0
SSS	188	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:170,LONG_CARD:0,WORD_CARD:0
SSTX	117	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:309,LONG_CARD:0,WORD_CARD:0
ST	127	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:210,LONG_CARD:0,WORD_CARD:0
STMJ	98	MAHJONG	mahjong-standard	MAHJONG:327,POKER:0,LONG_CARD:0,WORD_CARD:0
STSTMJ	104	MAHJONG	mahjong-standard	MAHJONG:367,POKER:0,LONG_CARD:0,WORD_CARD:0
SWMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:440,POKER:0,LONG_CARD:0,WORD_CARD:0
SXHTMJ	112	MAHJONG	mahjong-lai-zi	MAHJONG:482,POKER:0,LONG_CARD:0,WORD_CARD:0
SXLSMJ	98	MAHJONG	mahjong-lai-zi	MAHJONG:326,POKER:0,LONG_CARD:0,WORD_CARD:0
SXMJ	94	MAHJONG	mahjong-standard	MAHJONG:332,POKER:0,LONG_CARD:0,WORD_CARD:0
SXMMJ	107	MAHJONG	mahjong-standard	MAHJONG:329,POKER:0,LONG_CARD:0,WORD_CARD:0
SXZJMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:406,POKER:0,LONG_CARD:0,WORD_CARD:0
SYMJ	118	MAHJONG	mahjong-lai-zi	MAHJONG:530,POKER:0,LONG_CARD:0,WORD_CARD:0
SYS	120	POKER	poker-pao-de-kuai	MAHJONG:5,POKER:244,LONG_CARD:0,WORD_CARD:0
SYSYBP	125	MAHJONG	mahjong-standard	MAHJONG:302,POKER:0,LONG_CARD:4,WORD_CARD:0
SZD	111	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:177,LONG_CARD:0,WORD_CARD:0
SZMJ	108	MAHJONG	mahjong-lai-zi	MAHJONG:518,POKER:0,LONG_CARD:0,WORD_CARD:0
TAMJ	118	MAHJONG	mahjong-standard	MAHJONG:454,POKER:0,LONG_CARD:0,WORD_CARD:0
TBHMJ	97	MAHJONG	mahjong-standard	MAHJONG:421,POKER:1,LONG_CARD:0,WORD_CARD:0
TBZFBMJ	93	MAHJONG	mahjong-standard	MAHJONG:313,POKER:0,LONG_CARD:0,WORD_CARD:0
TCMJ	98	MAHJONG	mahjong-lai-zi	MAHJONG:476,POKER:0,LONG_CARD:0,WORD_CARD:0
TDHMJ	88	MAHJONG	mahjong-standard	MAHJONG:297,POKER:0,LONG_CARD:0,WORD_CARD:0
TGMJ	113	MAHJONG	mahjong-tui-dao-hu	MAHJONG:405,POKER:0,LONG_CARD:0,WORD_CARD:0
TGWSK	127	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:301,LONG_CARD:0,WORD_CARD:0
THBBZ	113	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:268,LONG_CARD:0,WORD_CARD:0
THGJMJ	119	MAHJONG	mahjong-lai-zi	MAHJONG:457,POKER:0,LONG_CARD:0,WORD_CARD:0
THGZ	109	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:270,LONG_CARD:0,WORD_CARD:0
THJGL	131	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:277,LONG_CARD:0,WORD_CARD:0
THKB	110	POKER	poker-pao-de-kuai	MAHJONG:10,POKER:234,LONG_CARD:0,WORD_CARD:0
TJMJ	101	MAHJONG	mahjong-lai-zi	MAHJONG:408,POKER:0,LONG_CARD:0,WORD_CARD:0
TJTGMJ	90	MAHJONG	mahjong-standard	MAHJONG:389,POKER:0,LONG_CARD:0,WORD_CARD:0
TJTJMJ	99	MAHJONG	mahjong-lai-zi	MAHJONG:401,POKER:0,LONG_CARD:0,WORD_CARD:0
TMHHMJ	97	MAHJONG	mahjong-lai-zi	MAHJONG:374,POKER:0,LONG_CARD:0,WORD_CARD:0
TSDG	118	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:258,LONG_CARD:0,WORD_CARD:0
TTZ	106	POKER	poker-trick-taking	MAHJONG:1,POKER:121,LONG_CARD:0,WORD_CARD:0
TWGZ	110	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:200,LONG_CARD:0,WORD_CARD:0
TWMJ	92	MAHJONG	mahjong-standard	MAHJONG:360,POKER:0,LONG_CARD:0,WORD_CARD:0
TXMJ	102	MAHJONG	mahjong-standard	MAHJONG:425,POKER:0,LONG_CARD:0,WORD_CARD:0
TZJJMJ	122	MAHJONG	mahjong-standard	MAHJONG:415,POKER:0,LONG_CARD:0,WORD_CARD:0
TZKZMJ	107	MAHJONG	mahjong-standard	MAHJONG:583,POKER:1,LONG_CARD:0,WORD_CARD:0
TZMJ	86	MAHJONG	mahjong-standard	MAHJONG:353,POKER:0,LONG_CARD:0,WORD_CARD:0
TZPDK	109	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:214,LONG_CARD:0,WORD_CARD:0
Test	25	INFRASTRUCTURE	backend-framework	MAHJONG:18,POKER:4,LONG_CARD:0,WORD_CARD:0
WABJMJ	96	MAHJONG	mahjong-xue-liu	MAHJONG:354,POKER:0,LONG_CARD:0,WORD_CARD:0
WFBH	122	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:194,LONG_CARD:0,WORD_CARD:2
WGFHMJ	99	MAHJONG	mahjong-standard	MAHJONG:364,POKER:0,LONG_CARD:0,WORD_CARD:0
WHBH	123	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:218,LONG_CARD:0,WORD_CARD:5
WHMJ	109	MAHJONG	mahjong-standard	MAHJONG:527,POKER:0,LONG_CARD:0,WORD_CARD:0
WJMJ	89	MAHJONG	mahjong-lai-zi	MAHJONG:314,POKER:0,LONG_CARD:0,WORD_CARD:0
WK	103	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:177,LONG_CARD:0,WORD_CARD:0
WL	127	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:495,LONG_CARD:0,WORD_CARD:0
WNMJ	92	MAHJONG	mahjong-standard	MAHJONG:387,POKER:0,LONG_CARD:0,WORD_CARD:0
WNPDK	89	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:125,LONG_CARD:0,WORD_CARD:0
WNYH	91	MAHJONG	mahjong-standard	MAHJONG:268,POKER:1,LONG_CARD:0,WORD_CARD:0
WSBEA	111	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:147,LONG_CARD:0,WORD_CARD:0
WSK	107	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:265,LONG_CARD:0,WORD_CARD:0
WXLS	186	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:148,LONG_CARD:0,WORD_CARD:0
WXMJ	92	MAHJONG	mahjong-standard	MAHJONG:346,POKER:0,LONG_CARD:0,WORD_CARD:0
WXZMMJ	120	MAHJONG	mahjong-lai-zi	MAHJONG:554,POKER:0,LONG_CARD:0,WORD_CARD:2
WZMJ	96	MAHJONG	mahjong-standard	MAHJONG:418,POKER:0,LONG_CARD:0,WORD_CARD:0
WZQSMJ	88	MAHJONG	mahjong-standard	MAHJONG:301,POKER:0,LONG_CARD:0,WORD_CARD:0
XCMJ	94	MAHJONG	mahjong-xue-zhan	MAHJONG:432,POKER:0,LONG_CARD:0,WORD_CARD:0
XFGZMJ	108	MAHJONG	mahjong-standard	MAHJONG:348,POKER:0,LONG_CARD:0,WORD_CARD:0
XGKWXMJ	106	MAHJONG	mahjong-standard	MAHJONG:591,POKER:0,LONG_CARD:0,WORD_CARD:0
XGPDK	105	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:176,LONG_CARD:0,WORD_CARD:0
XHBBMJ	97	MAHJONG	mahjong-standard	MAHJONG:417,POKER:0,LONG_CARD:0,WORD_CARD:0
XHMJ	97	MAHJONG	mahjong-standard	MAHJONG:470,POKER:0,LONG_CARD:0,WORD_CARD:0
XHZMJ	82	MAHJONG	mahjong-standard	MAHJONG:246,POKER:0,LONG_CARD:0,WORD_CARD:0
XJBJMJ	104	MAHJONG	mahjong-standard	MAHJONG:517,POKER:0,LONG_CARD:0,WORD_CARD:0
XJLSHMJ	107	MAHJONG	mahjong-xue-liu	MAHJONG:426,POKER:0,LONG_CARD:0,WORD_CARD:0
XJMJ	99	MAHJONG	mahjong-standard	MAHJONG:352,POKER:0,LONG_CARD:0,WORD_CARD:0
XJXZMJ	98	MAHJONG	mahjong-xue-liu	MAHJONG:367,POKER:0,LONG_CARD:0,WORD_CARD:0
XL2VS2MJ	123	MAHJONG	mahjong-xue-zhan	MAHJONG:661,POKER:0,LONG_CARD:0,WORD_CARD:0
XLHZMJ	93	MAHJONG	mahjong-xue-liu	MAHJONG:278,POKER:0,LONG_CARD:0,WORD_CARD:0
XLQMJ	84	MAHJONG	mahjong-standard	MAHJONG:321,POKER:0,LONG_CARD:0,WORD_CARD:0
XMMJ	91	MAHJONG	mahjong-standard	MAHJONG:332,POKER:0,LONG_CARD:0,WORD_CARD:0
XNMJ	109	MAHJONG	mahjong-lai-zi	MAHJONG:503,POKER:0,LONG_CARD:0,WORD_CARD:0
XPLP	99	MAHJONG	mahjong-standard	MAHJONG:241,POKER:0,LONG_CARD:0,WORD_CARD:0
XPPHZ	125	WORD_CARD	word-card-pao-hu-zi	MAHJONG:290,POKER:0,LONG_CARD:4,WORD_CARD:255
XSDQ	125	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:191,LONG_CARD:0,WORD_CARD:0
XSMJ	111	MAHJONG	mahjong-lai-zi	MAHJONG:536,POKER:0,LONG_CARD:0,WORD_CARD:0
XSY	105	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:203,LONG_CARD:0,WORD_CARD:0
XTLHMJ	109	MAHJONG	mahjong-lai-zi	MAHJONG:458,POKER:0,LONG_CARD:0,WORD_CARD:0
XTMJ	95	MAHJONG	mahjong-standard	MAHJONG:365,POKER:0,LONG_CARD:0,WORD_CARD:0
XWMJ	97	MAHJONG	mahjong-standard	MAHJONG:408,POKER:0,LONG_CARD:0,WORD_CARD:0
XXFQMJ	105	MAHJONG	mahjong-standard	MAHJONG:376,POKER:0,LONG_CARD:0,WORD_CARD:0
XXMJ	111	MAHJONG	mahjong-tui-dao-hu	MAHJONG:389,POKER:0,LONG_CARD:0,WORD_CARD:0
XXTDHMJ	102	MAHJONG	mahjong-standard	MAHJONG:388,POKER:0,LONG_CARD:0,WORD_CARD:0
XYGSMJ	110	MAHJONG	mahjong-standard	MAHJONG:330,POKER:0,LONG_CARD:0,WORD_CARD:0
XYHCMJ	117	MAHJONG	mahjong-lai-zi	MAHJONG:573,POKER:0,LONG_CARD:0,WORD_CARD:0
XYMJ	81	MAHJONG	mahjong-standard	MAHJONG:201,POKER:0,LONG_CARD:0,WORD_CARD:0
XYSCMJ	102	MAHJONG	mahjong-standard	MAHJONG:389,POKER:0,LONG_CARD:0,WORD_CARD:0
XYWSK	107	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:209,LONG_CARD:0,WORD_CARD:0
XYXMJ	103	MAHJONG	mahjong-standard	MAHJONG:523,POKER:0,LONG_CARD:0,WORD_CARD:0
XYXXMJ	100	MAHJONG	mahjong-lai-zi	MAHJONG:427,POKER:0,LONG_CARD:0,WORD_CARD:0
XYXXPDK	105	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:180,LONG_CARD:0,WORD_CARD:0
XYZB	107	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:205,LONG_CARD:0,WORD_CARD:0
XZMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:492,POKER:0,LONG_CARD:0,WORD_CARD:0
YBGXMJ	122	MAHJONG	mahjong-lai-zi	MAHJONG:424,POKER:0,LONG_CARD:0,WORD_CARD:0
YCFXMJ	124	MAHJONG	mahjong-lai-zi	MAHJONG:565,POKER:0,LONG_CARD:0,WORD_CARD:0
YCHP	105	WORD_CARD	word-card-pao-hu-zi	MAHJONG:243,POKER:2,LONG_CARD:0,WORD_CARD:0
YCMJ	102	MAHJONG	mahjong-standard	MAHJONG:352,POKER:0,LONG_CARD:0,WORD_CARD:0
YCSDR	104	WORD_CARD	word-card-pao-hu-zi	MAHJONG:245,POKER:0,LONG_CARD:0,WORD_CARD:0
YCSGMJ	121	MAHJONG	mahjong-lai-zi	MAHJONG:569,POKER:0,LONG_CARD:0,WORD_CARD:0
YCTJMJ	104	MAHJONG	mahjong-lai-zi	MAHJONG:424,POKER:0,LONG_CARD:0,WORD_CARD:0
YDDGMJ	107	MAHJONG	mahjong-lai-zi	MAHJONG:453,POKER:0,LONG_CARD:0,WORD_CARD:0
YFCGMJ	120	MAHJONG	mahjong-lai-zi	MAHJONG:521,POKER:0,LONG_CARD:0,WORD_CARD:0
YFMJ	99	MAHJONG	mahjong-standard	MAHJONG:434,POKER:0,LONG_CARD:0,WORD_CARD:0
YGJZMJ	98	MAHJONG	mahjong-standard	MAHJONG:373,POKER:0,LONG_CARD:0,WORD_CARD:0
YGLFL	106	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:142,LONG_CARD:0,WORD_CARD:0
YGMJ	98	MAHJONG	mahjong-standard	MAHJONG:439,POKER:0,LONG_CARD:0,WORD_CARD:0
YGPDK	100	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:176,LONG_CARD:0,WORD_CARD:0
YGWSK	112	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:228,LONG_CARD:0,WORD_CARD:0
YHMJ	106	MAHJONG	mahjong-standard	MAHJONG:398,POKER:0,LONG_CARD:0,WORD_CARD:0
YHZMJ	94	MAHJONG	mahjong-lai-zi	MAHJONG:330,POKER:0,LONG_CARD:0,WORD_CARD:0
YJLYMJ	98	MAHJONG	mahjong-lai-zi	MAHJONG:344,POKER:0,LONG_CARD:0,WORD_CARD:0
YJMJ	99	MAHJONG	mahjong-lai-zi	MAHJONG:393,POKER:0,LONG_CARD:0,WORD_CARD:0
YJNXMJ	98	MAHJONG	mahjong-standard	MAHJONG:320,POKER:0,LONG_CARD:0,WORD_CARD:0
YKMJ	123	MAHJONG	mahjong-tui-dao-hu	MAHJONG:449,POKER:0,LONG_CARD:0,WORD_CARD:14
YLDGZMJ	99	MAHJONG	mahjong-standard	MAHJONG:368,POKER:0,LONG_CARD:0,WORD_CARD:0
YSDZ	119	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:269,LONG_CARD:0,WORD_CARD:3
YSMJ	100	MAHJONG	mahjong-standard	MAHJONG:336,POKER:0,LONG_CARD:0,WORD_CARD:0
YSZMJ	116	MAHJONG	mahjong-standard	MAHJONG:397,POKER:0,LONG_CARD:0,WORD_CARD:0
YTMJ	93	MAHJONG	mahjong-standard	MAHJONG:350,POKER:0,LONG_CARD:0,WORD_CARD:0
YTYJMJ	101	MAHJONG	mahjong-lai-zi	MAHJONG:394,POKER:0,LONG_CARD:0,WORD_CARD:0
YXBZMJ	112	MAHJONG	mahjong-standard	MAHJONG:355,POKER:0,LONG_CARD:0,WORD_CARD:0
YXDDZ	121	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:167,LONG_CARD:0,WORD_CARD:0
YXLS	182	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:142,LONG_CARD:0,WORD_CARD:0
YXMJ	90	MAHJONG	mahjong-standard	MAHJONG:390,POKER:0,LONG_CARD:0,WORD_CARD:0
YXPDK	111	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:180,LONG_CARD:0,WORD_CARD:0
YXSRDDZ	123	POKER	poker-pao-de-kuai	MAHJONG:3,POKER:164,LONG_CARD:0,WORD_CARD:0
YXTDH	102	MAHJONG	mahjong-lai-zi	MAHJONG:347,POKER:0,LONG_CARD:0,WORD_CARD:0
YYMJ	98	MAHJONG	mahjong-standard	MAHJONG:358,POKER:0,LONG_CARD:0,WORD_CARD:0
YZCHZ	129	WORD_CARD	word-card-pao-hu-zi	MAHJONG:289,POKER:0,LONG_CARD:4,WORD_CARD:0
YZGYMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:517,POKER:1,LONG_CARD:4,WORD_CARD:0
YZMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:361,POKER:0,LONG_CARD:0,WORD_CARD:0
YZPDK	100	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:162,LONG_CARD:0,WORD_CARD:0
YZYZMJ	122	MAHJONG	mahjong-standard	MAHJONG:481,POKER:0,LONG_CARD:0,WORD_CARD:0
ZA13MJ	95	MAHJONG	mahjong-standard	MAHJONG:361,POKER:0,LONG_CARD:0,WORD_CARD:2
ZA16MJ	92	MAHJONG	mahjong-standard	MAHJONG:412,POKER:0,LONG_CARD:0,WORD_CARD:2
ZASS	110	MAHJONG	mahjong-standard	MAHJONG:219,POKER:0,LONG_CARD:4,WORD_CARD:0
ZCMJ	113	MAHJONG	mahjong-lai-zi	MAHJONG:450,POKER:0,LONG_CARD:0,WORD_CARD:0
ZD	114	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:212,LONG_CARD:0,WORD_CARD:0
ZGCP	107	LONG_CARD	long-card-zigong	MAHJONG:285,POKER:24,LONG_CARD:219,WORD_CARD:0
ZGDSS	110	LONG_CARD	long-card-zigong-da-si-shi	MAHJONG:281,POKER:109,LONG_CARD:150,WORD_CARD:0
ZGMJ	107	MAHJONG	mahjong-standard	MAHJONG:655,POKER:0,LONG_CARD:0,WORD_CARD:0
ZGQZMJ	104	MAHJONG	mahjong-lai-zi	MAHJONG:517,POKER:0,LONG_CARD:0,WORD_CARD:0
ZGZ	110	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:146,LONG_CARD:0,WORD_CARD:0
ZJGMJ	91	MAHJONG	mahjong-standard	MAHJONG:292,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJHZMJ	114	MAHJONG	mahjong-lai-zi	MAHJONG:478,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJJHMJ	96	MAHJONG	mahjong-standard	MAHJONG:507,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJMJ	92	MAHJONG	mahjong-lai-zi	MAHJONG:333,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJPLS	206	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:209,LONG_CARD:0,WORD_CARD:0
ZJQZMJ	102	MAHJONG	mahjong-lai-zi	MAHJONG:367,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJQZSK	131	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:675,LONG_CARD:0,WORD_CARD:0
ZJSHZMJ	98	MAHJONG	mahjong-standard	MAHJONG:359,POKER:0,LONG_CARD:0,WORD_CARD:0
ZJTZMJ	119	MAHJONG	mahjong-lai-zi	MAHJONG:486,POKER:1,LONG_CARD:0,WORD_CARD:0
ZJWZMJ	126	MAHJONG	mahjong-standard	MAHJONG:492,POKER:0,LONG_CARD:0,WORD_CARD:30
ZKLYMJ	105	MAHJONG	mahjong-standard	MAHJONG:338,POKER:0,LONG_CARD:0,WORD_CARD:0
ZKMJ	99	MAHJONG	mahjong-standard	MAHJONG:399,POKER:0,LONG_CARD:0,WORD_CARD:0
ZLMZ	118	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:270,LONG_CARD:0,WORD_CARD:0
ZMDMJ	109	MAHJONG	mahjong-lai-zi	MAHJONG:451,POKER:0,LONG_CARD:0,WORD_CARD:0
ZPMJ	112	MAHJONG	mahjong-standard	MAHJONG:382,POKER:0,LONG_CARD:0,WORD_CARD:16
ZXMJ	105	MAHJONG	mahjong-lai-zi	MAHJONG:416,POKER:0,LONG_CARD:0,WORD_CARD:0
ZYMJ	93	MAHJONG	mahjong-standard	MAHJONG:311,POKER:1,LONG_CARD:0,WORD_CARD:0
ZZDMZ	122	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:243,LONG_CARD:0,WORD_CARD:0
ZZMJ	92	MAHJONG	mahjong-lai-zi	MAHJONG:300,POKER:0,LONG_CARD:0,WORD_CARD:0
ZZNSB	119	POKER	poker-pao-de-kuai	MAHJONG:4,POKER:280,LONG_CARD:0,WORD_CARD:0
ZZPH	124	MAHJONG	mahjong-standard	MAHJONG:299,POKER:0,LONG_CARD:4,WORD_CARD:0
commdef	647	INFRASTRUCTURE	backend-framework	MAHJONG:64,POKER:81,LONG_CARD:0,WORD_CARD:1
common	216	INFRASTRUCTURE	backend-framework	MAHJONG:0,POKER:0,LONG_CARD:0,WORD_CARD:0
gameHall	12	INFRASTRUCTURE	backend-framework	MAHJONG:0,POKER:0,LONG_CARD:0,WORD_CARD:0
gameServer	1123	INFRASTRUCTURE	backend-framework	MAHJONG:2127,POKER:151,LONG_CARD:0,WORD_CARD:1
